T1 2D  (PRE/Unspecified or POST),T1 3D (MPRAGE) (PRE/Unspecied or POST),VENOVIBE  (PRE/Unspecied or POST),T1 2D IAC  (PRE/Unspecied or POST),T2 2D,T2 3D SPACE,T2 2D IAC,CISS,FLAIR,DIFFUSION,DIFFUSION TRACE,DIFFUSION ADC,T2 HASTE,SCOUT,VIBE (PRE/Unspecied or POST),GRASP,RECON or  T1 3D RECON? ,SWI,SWI PHASE,PERFUSION,SWI MIP,SWI MAGNITUDE
SAG T1,SAG 3D-T1-MS-P,AX VENOVIBE PRE,AX T1 FS IAC POST,AX T2,SAG T2 SPACE,Axial T2 FLAIR,t2_spc_tra_p2_iso IAC CISS,3D Sag T2 FLAIR Cube,AX DIFFUSION_TRACEW,AX DIFFUSION MB2_TRACEW,AX DIFFUSION_ADC,COR HASTE,haste_localizer,AX RADIAL VIBE,AXIAL GRASP_YK8,AX RADIAL VIBE_MPR_cor grasp recon,SWI_Images,Pha_Images,AX PERFUSION,3D SWAN REFORMAT,Mag_Images
AX T1 POST,T1 3D,AX VENOVIBE POST,AX T1 IAC,COR T2,AX T2 SPACE,SAG T2 FLAIR,t2_ciss3d_tra_iso,,MB2_DIFFUSION_TRACE_TRACEW,MB2_DIFFUSION_TRACEW,AX DIFFUSION MB2_ADC,SAG HASTE,sag haste loc,AXIAL RADIAL VIBE,AX GRASP_YK8,AX RADIAL VIBE_MPR_cor t2 spc recon,Ax SWAN_SWI,FILT_PHA: Ax SWAN_SWI,ep2d_perf_p2,mIP_Images(SW),
AX T1,SAG 3D T1 - MS-P,t1_veno_vibe_fs_tra_PRE,COR T1 IAC,AX T2 FLAIR,,AX FLAIR,AX T2 CISS-iac,,,,MB2_DIFFUSION_ADC,AX HASTE,ax haste loc,AX 3D VIBE PRE,,,Axial SWAN,,EP2D PERFUSION,,
AX T1 PRE,T1_mprage_tra_iso_1.0,t1_veno_vibe_fs_POST GAD,COR T1 POST IAC,T2 TSE COR,,COR FLAIR,T2 CISS AX,,,AX DIFF TRACE_TRACEW,ep2d_diff_3scan__ADC,AX T2 HASTE,COR HASTE SCOUT,AX 3D VIBE POST,,,,,PERFUSION,,
T1 AXIAL,T1 MPRage Axial POST,,,AX T2_FBB,,SAG 3D FLAIR,t2_spc_NEW_CISS_1(TRIGEM)CORONAL,,,ep2d_diff_3scan_trace_p2_TRACEW,DIFF_meso_ADC,SAG T2 HASTE,refined HASTE 3pl Localizer,AX 3D VIBE PRE,,,,,Ax Perfusion+c,,
COR T1 FS POST,Sag 3D T1 TFE,,,SAG T2,,,AX T2 CISS-iac_MPR_COR IAC,,,DIFF_meso_B5000_TRACEW,DIFF_meso_research_ADC,COR HASTE FS,haste_localizer_COMP_SP_1,AX 3D VIBE POST,,,,,,,
T1 SAG,Sag T1 isoFSE 3D +C,,,T2 COR,,,t2_spc_CISS_1(USE FOR TRIGEM/FACIAL PAIN),,,DIFF_TRACEW,DIFF_meso_2_ADC,T2 HASTE COR,AAhead_scout,RADIAL VIBE,,,,,,,
SAG T1 POST,3D-T1-MS-P,,,Axial T2,,,,,,AX DIFFUSION POST_TRACEW,Apparent Diffusion Coefficient (mm2/s),COR HASTE REPEAT,SCOUT,AX VIBE PRE,,,,,,,
COR T1 POST,AX T1 3D MPR,,,AX T2 FS,,,,,,AX RESOLVE DIFFUSION_TRACEW,DIFF_meso_B5000_ADC,T2 HASTE AX,AAHead_Scout,Ax 3DT1 Vibe Fsat C+,,,,,,,
COR T1,Sag T1 isoFSE 3D,,,AXIAL T2,,,,,,DIFF_meso_RESEARCH_TRACEW,DIFF_ADC,AX DB HASTE,AAHScout,COR VIBE POST,,,,,,,
Sag T1 FSE,3D-T1-MS-P PRE,,,T2 AX,,,,,,AX DIFFUSION_match_MB2_TRACEW,,T2 HASTE SAG,SAT UP SCOUT,,,,,,,,
Axial T1 SE,SAG 3D MPR,,,Ax T2,,,,,,,,t2_haste_cor_p2,AAhead_scout_MPR_sag,,,,,,,,
SAGITTAL T1 VOLUME POST,SAG MPR,,,Axial T2 FSE,,,,,,,,AX T2 HASTE POST,AAspine_scout,,,,,,,,
SAG T1 IR,AX 3D MPR,,,Ax T2 POST,,,,,,,,,AAHead_Scout_MPR_sag,,,,,,,,
AX T1_FBB,AX MPR,,,AX T2 TSE,,,,,,,,,AAhead_scout_MPR_tra,,,,,,,,
AX T1 FLAIR,SAG MPR pre,,,AX T2 REPEAT,,,,,,,,,AAhead_scout_MPR_cor,,,,,,,,
SAG T1 PRE,,,,AXI T2,,,,,,,,,SCOUT COMPOSED,,,,,,,,
AX T1 FS POST,,,,,,,,,,,,,SCOUT LOWER,,,,,,,,
AX T1 FLASH,,,,,,,,,,,,,AAHead_Scout_MPR_cor,,,,,,,,
T1 AXL,,,,,,,,,,,,,AAHead_Scout_MPR_tra,,,,,,,,
Sag T1 FLAIR,,,,,,,,,,,,,SCOUT_S1_DIS2D,,,,,,,,
AX T1 FLASH (POST),,,,,,,,,,,,,SCOUT UPPER,,,,,,,,
Ax T1 FLAIR POST,,,,,,,,,,,,,SCOUT COMPOSED_COMP,,,,,,,,
AX T1 FLASH (PRE),,,,,,,,,,,,,AAHead_Scout_32ch-head-coil,,,,,,,,
t1_se_sag,,,,,,,,,,,,,SCOUT AUTO ALIGN,,,,,,,,
AX T1 POST_FBB,,,,,,,,,,,,,SAT UP SCOUT_S3_DIS2D,,,,,,,,
AX TFE T1,,,,,,,,,,,,,HASTE SCOUT,,,,,,,,
AX T1 IR,,,,,,,,,,,,,NECK SCOUT,,,,,,,,
Ax T1 FLAIR PRE,,,,,,,,,,,,,COR PD SCOUT,,,,,,,,
Axial T1,,,,,,,,,,,,,AX PD SCOUT,,,,,,,,
AX T1 FLAIR POST,,,,,,,,,,,,,vessel_scout_neck,,,,,,,,
T1 AX,,,,,,,,,,,,,vessel_scout_neck_MSUM,,,,,,,,
AX T1 TSE,,,,,,,,,,,,,Post_Gre_field_mapping_SCOUT,,,,,,,,
T1 AXIAL POST GAD,,,,,,,,,,,,,tDCS_Gre_field_mapping_SCOUT,,,,,,,,
,,,,,,,,,,,,,Pre_Gre_field_mapping_SCOUT,,,,,,,,
,,,,,,,,,,,,,AAHScout_MPR_sag,,,,,,,,
,,,,,,,,,,,,,vessel_scout_head_MSUM,,,,,,,,